row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
360,7240,BAN MO,บ้านหม้อ,7227,MUEANG PHETCHABURI,เมืองเพชรบุรี,7226,Phetchaburi,เพชรบุรี,6.0,20.0,17.0,49.0,22.0,32.0,0.0,0.0,0.0,0.0,74.0,90.0,83.0,98.0,83.0,89.0,baania
396,2620,CHALONG,ฉลอง,2617,MUEANG PHUKET,เมืองภูเก็ต,2616,Phuket,ภูเก็ต,65.0,41.0,25.0,60.0,55.0,55.0,0.0,0.0,0.0,0.0,93.0,88.0,86.0,94.0,92.0,92.0,baania
364,4657,MAP PHAI,มาบไผ่,4654,BAN BUENG,บ้านบึง,4616,Chon Buri,ชลบุรี,3.0,9.0,7.0,13.0,11.0,10.0,0.0,0.0,0.0,0.0,60.0,74.0,75.0,85.0,80.0,77.0,baania
98,4661,NONG PHAI KAEO,หนองไผ่แก้ว,4654,BAN BUENG,บ้านบึง,4616,Chon Buri,ชลบุรี,1.0,1.0,1.0,73.0,62.0,40.0,0.0,0.0,0.0,0.0,59.0,54.0,61.0,100.0,100.0,81.0,baania
28,4707,NA CHOM THIAN,นาจอมเทียน,4645,BANG LAMUNG,บางละมุง,4616,Chon Buri,ชลบุรี,29.0,38.0,4.0,62.0,29.0,46.0,0.0,0.0,0.0,0.0,76.0,80.0,44.0,86.0,80.0,80.0,baania
704,3605,BANG PROK,บางปรอก,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,98.0,79.0,85.0,100.0,100.0,96.0,0.0,99.0,0.0,40.0,100.0,100.0,99.0,100.0,97.0,100.0,baania
86,3633,KHU KHWANG,คูขวาง,3630,LAT LUM KAEO,ลาดหลุมแก้ว,3599,Pathum Thani,ปทุมธานี,51.0,60.0,70.0,100.0,100.0,83.0,0.0,87.0,0.0,35.0,100.0,100.0,100.0,96.0,100.0,98.0,baania
454,6360,THAP TAI,ทับใต้,6354,HUA HIN,หัวหิน,6307,Prachuap Khiri Khan,ประจวบคีรีขันธ์,7.0,10.0,6.0,20.0,7.0,13.0,0.0,0.0,0.0,0.0,42.0,72.0,52.0,72.0,46.0,61.0,baania
333,3683,LAM PHAYA,ลำพยา,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,33.0,15.0,60.0,95.0,98.0,71.0,0.0,1.0,0.0,0.0,83.0,96.0,94.0,100.0,100.0,95.0,baania
446,3763,SALA YA,ศาลายา,3760,PHUTTHAMONTHON,พุทธมณฑล,3667,Nakhon Pathom,นครปฐม,52.0,13.0,74.0,99.0,93.0,78.0,0.0,78.0,0.0,31.0,97.0,86.0,97.0,100.0,100.0,98.0,baania
