row_number,gid,line_no,railway,line_typt,line_type,status,line_th,line_en,station_th,station_en,latitude,longitude,prov_namt,prov_name,amp_namt,amp_name,tam_namt,tam_name
273,281,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,สนามบินน้ำ,Sanambin Nam,13.87604400,100.51554600,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ท่าทราย,THA SAI
223,119,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,แยกติวานนท์,Yaek Tiwanon,13.84189800,100.51215700,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางเขน,BANG KHEN
257,62,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,สุรศักดิ์,Surasak,13.71926200,100.52150800,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,สีลม,SI LOM
220,15,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,กรมป่าไม้,Royal Forest Department,13.85105100,100.58225100,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
137,162,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,บางบำหรุ,Bang Bamru,13.79203500,100.47730000,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางบำหรุ,BANG BAMRU
278,108,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,เพชรเกษม-48,Phetkasem 48,13.71546400,100.44547700,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,บางขุนเทียน,BANG KHUN THIAN
287,137,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,ผ่านฟ้าลีลาศ,ผ่านฟ้าลีลาศ,13.75684700,100.50466900,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,บ้านบาตร,BAN BAT
132,149,5,รถไฟฟ้า,แอร์พอร์ต-เรล-ลิงค์,Airport-Rail-Link,ปัจจุบัน,แอร์พอร์ต เรล ลิงค์,Airport Rail Link,ราชปรารถ,Ratchaprarop,13.75508542,100.54222040,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ถนนพญาไท,THANON PHAYA THAI
203,11,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,พหลโยธิน-59,Phahonyothin 59,13.88258700,100.60084000,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI
245,143,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,จอมทอง,จอมทอง,13.69440900,100.48208100,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,จอมทอง,CHOM THONG
114,47,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ปากน้ำ,Pak Nam,13.60214000,100.59705900,สมุทรปราการ,SAMUT PRAKAN,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,ปากคลองบางปลากด,PAK KHLONG BANG PLA KOT
226,186,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,ตลาดพลู,Talat Phlu,13.72066200,100.47775600,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,ตลาดพลู,TALAT PHLU
80,126,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,บางรักน้อย-ท่าอิฐ,Bang Rak Noi Tha It,13.87322100,100.45972100,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ไทรม้า,SAI MA
94,89,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,สุทธิสาร,Sutthisan,13.78903000,100.57411300,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,HUAI KHWANG,ห้วยขวาง,HUAI KHWANG
68,25,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,อนุสาวรีย์ชัยสมรภูมิ,Victory Monument,13.76276700,100.53709100,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,สามเสนใน,SAM SEN NAI
310,173,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,บางบำหรุ,Bang Bamru,13.79102400,100.47497300,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางบำหรุ,BANG BAMRU
166,150,5,รถไฟฟ้า,แอร์พอร์ต-เรล-ลิงค์,Airport-Rail-Link,ปัจจุบัน,แอร์พอร์ต เรล ลิงค์,Airport Rail Link,มักกะสัน,Makkasan,13.75090530,100.56089680,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,มักกะสัน,MAKKASAN
217,58,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,สยาม,Siam,13.74556400,100.53429800,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ปทุมวัน,PATHUM WAN
165,127,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,บางรักใหญ่,Bang Rak Yai,13.87668100,100.44685000,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ไทรม้า,SAI MA
58,306,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,พระราม-3,Rama III,13.70825100,100.54901200,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,ช่องนนทรี,CHONG NONSI
232,86,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,พหลโยธิน,Phahon Yothin,13.81340600,100.56049000,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,จตุจักร,CHATUCHAK
276,196,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,สามเสน,Sam Sen,13.77925000,100.52987300,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,ถนนนครไชยศรี,THANON NAKHON CHAISI
176,219,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,เคหะรามคำแหง,Keha Ramkhamhaeng,13.80487700,100.72568700,กรุงเทพมหานคร,BANGKOK,คลองสามวา,KHLONG SAM WA,ทรายกองดินใต้,SAI KONG DIN TAI
208,8,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,รพ.ภูมิพล,Bhumibol Adulyadej Hospital,13.91117200,100.61770200,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คลองถนน,KHLONG THANON
249,274,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีชมพู,Pink Line,นพรัตนราชธานี,Nopparat,13.81545300,100.68619800,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,คันนายาว,KHAN NA YAO
148,158,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,พญาไท,Phaya Thai,13.75675000,100.53432800,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ทุ่งพญาไท,THUNG PHAYA THAI
313,12,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.87366200,100.59568000,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI
181,253,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,ศรีลาซาล,Si La Salle,13.65501800,100.64215000,กรุงเทพมหานคร,BANGKOK,บางนา,BANG NA,บางนาใต้,BANG NA TAI
215,121,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,ศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.85990200,100.51550500,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ตลาดขวัญ,TALAT KHWAN
139,5,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,คูคต,Khu Khot,13.93250100,100.64445300,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,สายไหม,SAI MAI
69,309,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,สะพานพระราม-9,Rama IX Bridge,13.68512400,100.51937800,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,บางโพงพาง,BANG PHONGPHANG
224,35,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,เอกมัย,Ekkamai,13.71956200,100.58515000,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
272,250,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,สุภาพงษ์,สุภาพงษ์,13.69080100,100.64709900,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,หนองบอน,NONG BON
228,230,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,บางขุนนนท์,Bang Khun Non,13.76242450,100.47318200,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,บางขุนนนท์,BANG KHUN NON
172,269,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,ลาดปลาเค้า,Lat Pla Khao,13.86305400,100.61719300,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI
192,79,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,บางพลัด,Bang Phlat,13.79316020,100.50547490,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางอ้อ,BANG O
260,163,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ตลิ่งชัน,Taling Chan,13.78920900,100.44026000,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,ฉิมพลี,CHIMPHLI
285,101,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ท่าพระ,Tha Phra,13.72948600,100.47412600,กรุงเทพมหานคร,BANGKOK,บางกอกใหญ่,BANGKOK YAI,วัดท่าพระ,WAT THA PHRA
23,153,5,รถไฟฟ้า,แอร์พอร์ต-เรล-ลิงค์,Airport-Rail-Link,ปัจจุบัน,แอร์พอร์ต เรล ลิงค์,Airport Rail Link,บ้านทับช้าง,Ban Thap Chang,13.73270800,100.69376700,กรุงเทพมหานคร,BANGKOK,สะพานสูง,SAPHAN SUNG,ทับช้าง,THAP CHANG
162,155,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ศูนย์วิจัย,Sun Wichai,13.74447400,100.58895200,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,สวนหลวง,SUAN LUANG
21,111,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,หลักสอง,Lak Song,13.71105200,100.41039700,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,หลักสอง,LAK SONG
143,303,12,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีเทา,Grey Line,คลองตัน,Khlong Tan,13.71760700,100.57028300,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
200,225,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,ยมราช,Yommarat,13.75693600,100.51900400,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,วัดโสมนัส,WAT SOMMANAT
178,316,13,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีฟ้า,Light Blue Line,ลุมพินี,Lumphini,13.72773100,100.54475800,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,ทุ่งมหาเมฆ,THUNG MAHAMEK
293,297,12,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีเทา,Grey Line,ศูนย์วิจัย,Sun Wichai,13.74402000,100.58796300,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,สวนหลวง,SUAN LUANG
185,14,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,บางบัว,Bang Bua,13.85629700,100.58535100,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
65,192,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,คอกควาย,Khok Khwai,13.59016900,100.34368500,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,Mueang Samut Sakhon,คอกกระบือ,Khok Krabue
79,206,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,ดอนเมือง,Don Mueang,13.91417700,100.59773700,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,DON MUEANG,สนามบิน,SANAM BIN
149,239,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,หัวหมาก,Hua Mak,13.76183900,100.63792300,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK
304,64,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,กรุงธนบุรี,Krung Thonburi,13.72092300,100.50270300,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,บางลำภูล่าง,BANG LAMPHU LANG
231,205,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,การเคหะ,Kan Kheha,13.89898700,100.58924100,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,DON MUEANG,ดอนเมือง,DON MUEANG
251,182,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,รางสะแก,Rang Sakae,13.65195800,100.41291900,กรุงเทพมหานคร,BANGKOK,บางขุนเทียน,BANG KHUN THIAN,แสมดำ,SAMAE DAM
263,293,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,ลาดพร้าว-87,Lat Phrao 87,13.80112700,100.61499500,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คลองจั่น,KHLONG CHAN
141,99,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,สามย่าน,Sam Yan,13.73255400,100.52949300,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,วังใหม่,WANG MAI
236,55,1,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสุขุมวิท,Sukhumvit Line,บางปู,Bang Pu,13.52150300,100.65500000,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,บางปลา,BANG PLA
238,268,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,วัดพระศรีมหาธาตุ,Wat Phra Si Mahathat,13.87293978,100.59899810,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI
262,166,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ศาลายา,Sala Ya,13.80263000,100.32442000,นครปฐม,Nakhon Pathom,พุทธมณฑล,Phutthamonthon,ศาลายา,Salaya
183,60,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,ศาลาแดง,Sala Daeng,13.72846270,100.53412910,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ปทุมวัน,PATHUM WAN
235,105,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,วัดมังกร,Wat Mangkon,13.74167700,100.51068700,กรุงเทพมหานคร,BANGKOK,สัมพันธวงศ์,SAMPHANTHAWONG,สัมพันธวงศ์,SAMPHANTHAWONG
157,264,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีชมพู,Pink Line,เมืองทอง-1,Muang Thong 1,13.89424100,100.55734600,กรุงเทพมหานคร,BANGKOK,หลักสี่,LAK SI,ทุ่งสองห้อง,THUNG SONG HONG
233,233,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,ประชาสงเคราะห์,Pracha Songkhro,13.77276564,100.55387610,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,สามเสนใน,SAM SEN NAI
213,236,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,นวศรี,นวศรี,13.76616500,100.60377200,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,วังทองหลาง,WANG THONGLANG
100,312,13,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีฟ้า,Light Blue Line,ดินแดง,Din Daeng,13.75825800,100.55414400,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,ดินแดง,DIN DAENG
84,9,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,สะพานใหม่,Saphan Mai,13.89674200,100.60916500,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คลองถนน,KHLONG THANON
169,246,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,ลำสาลี,Lam Sali,13.76226500,100.64557400,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK
305,97,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ลุมพินี,Lumphini,13.72542500,100.54652100,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,ทุ่งมหาเมฆ,THUNG MAHAMEK
16,262,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีชมพู,Pink Line,เมืองทองธานี,Muang Thong Thani,13.90264700,100.53337300,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,บางตลาด,BANG TALAT
136,200,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,จตุจักร,Chatuchak,13.82437500,100.54850100,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,จตุจักร,CHATUCHAK
5,310,13,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีฟ้า,Light Blue Line,ประชาสงเคราะห์,Pracha Songkhro,13.77261538,100.55414690,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,สามเสนใน,SAM SEN NAI
189,29,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ชิดลม,Chit Lom,13.74410300,100.54308300,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ลุมพินี,LUMPHINI
150,295,12,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีเทา,Grey Line,นวศรี,Nawasi,13.76673100,100.60145600,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,วังทองหลาง,WANG THONGLANG
241,172,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,สิรินทร,สิรินทร,13.78500400,100.49282900,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางพลัด,BANG PHLAT
22,156,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,รามคำแหง,Ramkhamhaeng,13.74276700,100.60026200,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,สวนหลวง,SUAN LUANG
182,184,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,คลองสาน,Khlong San,13.72888291,100.51001710,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,คลองสาน,KHLONG SAN
83,175,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ตลาดน้ำตลิ่งชัน,ตลาดน้ำตลิ่งชัน,13.77600211,100.45661330,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,บางระมาด,BANG RAMAT
248,258,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,กลันตัน,กลันตัน,13.72571300,100.64174900,กรุงเทพมหานคร,BANGKOK,สวนหลวง,PHATTHANAKAN,พัฒนาการ,SUAN LUANG
57,265,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,ศูนย์ราชการฯ,Government Complex,13.89013900,100.56903900,กรุงเทพมหานคร,BANGKOK,หลักสี่,LAK SI,ทุ่งสองห้อง,THUNG SONG HONG
279,185,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,วงเวียนใหญ่,Wongwian Yai,13.72451100,100.49204500,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,บางยี่เรือ,BANG YI RUEA
133,220,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,มีนบุรี,Min Buri,13.81009400,100.73275400,กรุงเทพมหานคร,BANGKOK,คลองสามวา,KHLONG SAM WA,ทรายกองดินใต้,SAI KONG DIN TAI
186,227,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,อนุสาวรีย์ประชาธิปไตย,Democracy Monument,13.75627600,100.50388300,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,บ้านบาตร,BAN BAT
128,87,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ลาดพร้าว,Lat Phrao,13.80578700,100.57409300,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,จันทรเกษม,CHANTHARAKASEM
9,276,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,เศรษฐบุตรบำเพ็ญ,Setthabutbamphen,13.81262800,100.71365000,กรุงเทพมหานคร,BANGKOK,คลองสามวา,KHLONG SAM WA,ทรายกองดินใต้,SAI KONG DIN TAI
130,160,6,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงอ่อน,Light Red Line,บางกรวย,Bang Kruai,13.80708000,100.50846000,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางอ้อ,BANG O
259,83,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,บางซื่อ,Bang Sue,13.80244100,100.53998200,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,บางซื่อ,BANG SUE
284,140,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,วงวียนใหญ่,Wongwian Yai,13.72433900,100.49239900,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,บางยี่เรือ,BANG YI RUEA
89,104,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,สามยอด,Sam Yot,13.74697800,100.50223600,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,วังบูรพาภิรมย์,WANG BURAPHA PHIROM
190,66,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,โพธินิมิตร,Pho Nimit,13.71897600,100.48494500,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,ตลาดพลู,TALAT PHLU
105,73,2,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีลม,Silom Line,บรมราชชนนี,บรมราชชนนี,13.78028200,100.44260140,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,ฉิมพลี,CHIMPHLI
111,260,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,แจ้งวัฒนะ-ปากเกร็ด-28,Changwattana-Pak Kret 28,13.90689900,100.51071300,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,บางตลาด,BANG TALAT
234,188,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,สามแยก,Sam Yaek,13.63353200,100.39176700,กรุงเทพมหานคร,BANGKOK,บางบอน,BANG BON,บางบอนเหนือ,BANG BON NUEA
308,195,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,ยศเส,Yot Se,13.74817500,100.51777200,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,รองเมือง,RONG MUEANG
15,221,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,รางน้ำ,Rang Nam,13.76146100,100.54253300,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ถนนพญาไท,THANON PHAYA THAI
30,19,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,พหลโยธิน-24,Phahonyothin 24,13.82389000,100.56630300,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
244,237,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,รามคำแหง,Ramkhamhaeng,13.75803700,100.61621100,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK
288,61,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,ช่องนนทรี,Chong Nonsi,13.72375600,100.52938300,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,ยานนาวา,YAN NAWA
72,95,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ศูนย์ประชุมแห่งชาติสิริกิตติ์,Queen Sirikit National Convention Centre,13.72318500,100.56010600,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
