row_number,gid,line_no,railway,line_typt,line_type,status,line_th,line_en,station_th,station_en,latitude,longitude,prov_namt,prov_name,amp_namt,amp_name,tam_namt,tam_name
82,198,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,หัวลำโพง,Hua Lamphong,13.74241200,100.51685900,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,รองเมือง,RONG MUEANG
140,214,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,คลองบ้านม้า,Khlong Ban Ma,13.77373600,100.66740400,กรุงเทพมหานคร,BANGKOK,สะพานสูง,SAPHAN SUNG,สะพานสูง,SAPHAN SUNG
147,203,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,ทุ่งสองห้อง,Thung Song Hong,13.86332000,100.56943600,กรุงเทพมหานคร,BANGKOK,หลักสี่,LAK SI,ทุ่งสองห้อง,THUNG SONG HONG
26,307,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,นราธิวาส,Narathiwat,13.70111200,100.54217600,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,ช่องนนทรี,CHONG NONSI
4,124,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,สะพานพระนั่งเกล้า,Phra Nangklao Bridge,13.87048100,100.47917700,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางกระสอ,BANG KRASO
265,130,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,ตลาดบางใหญ่,Talad Bang Yai,13.88184900,100.40934900,นนทบุรี,NONTHABURI,บางบัวทอง,BANG BUA THONG,บางรักพัฒนา,BANG RAK PHATTHANA
19,125,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,ไทรม้า,Sai Ma,13.87012100,100.46928700,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางรักน้อย,BANG RAK NOI
54,215,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,สัมมากร,Sammakon,13.78059600,100.67986800,กรุงเทพมหานคร,BANGKOK,สะพานสูง,SAPHAN SUNG,สะพานสูง,SAPHAN SUNG
306,34,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ทองหล่อ,Thong Lo,13.72424600,100.57855500,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คลองตันเหนือ,KHLONG TAN NUEA
97,280,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,แคราย,Khae Rai,13.86193800,100.52089900,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางกระสอ,BANG KRASO
