row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,volume_of_rental
382,2021,8,สมุทรปราการ,SAMUT PRAKAN,บางบ่อ,BANG BO,คอนโด,Condo,29
1127,2021,7,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,779
1088,2021,10,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,364
194,2021,9,ปทุมธานี,PATHUM THANI,คลองหลวง,KHLONG LUANG,คอนโด,Condo,25
168,2020,11,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,258
1232,2021,7,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,คอนโด,Condo,97
845,2021,6,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,คอนโด,Condo,89
139,2020,10,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,คอนโด,Condo,23
71,2020,3,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,14
910,2019,5,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,118
1366,2019,5,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,42
120,2019,5,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,18
842,2021,6,กรุงเทพมหานคร,BANGKOK,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,35
1171,2020,12,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,263
1340,2021,8,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,394
1063,2019,6,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,25
724,2021,2,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,1542
100,2021,3,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,287
741,2020,8,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,39
215,2020,7,ปทุมธานี,PATHUM THANI,คลองหลวง,KHLONG LUANG,คอนโด,Condo,11
433,2021,8,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,คอนโด,Condo,17
557,2021,3,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,334
80,2020,8,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,306
455,2019,10,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,DON MUEANG,คอนโด,Condo,16
1096,2021,7,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,19
851,2021,5,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,คอนโด,Condo,23
1367,2019,8,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,23
1508,2021,7,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,13
306,2020,11,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,113
1507,2021,6,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,ทาวน์โฮม,Townhome,14
