row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
1417,2019,7,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,189,1524
2492,2020,3,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,269,2220
1763,2019,5,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้าน,Detached House,125,502
2066,2018,1,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,อาคารพาณิชย์,Commercial,45,274
2041,2017,11,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,304,2114
1790,2020,6,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,38,201
2870,2017,8,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,อาคารพาณิชย์,Commercial,216,2661
1504,2020,1,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,คอนโด,Condo,52,663
659,2017,12,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,1228,9661
689,2017,11,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,ทาวน์โฮม,Townhome,281,3051
1710,2017,7,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้าน,Detached House,2603,35913
2010,2017,11,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้านแฝด,Twin house,108,1245
112,2016,10,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,365,4153
628,2019,3,กรุงเทพมหานคร,Bangkok,ปทุมวัน,PATHUM WAN,คอนโด,Condo,65,151
1661,2017,12,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,ทาวน์โฮม,Townhome,200,1616
60,2020,3,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้านแฝด,Twin house,104,1504
2080,2018,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,666,3703
975,2021,5,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,22,97
1093,2018,11,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,397,999
2953,2020,11,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,8,25
1537,2019,12,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,159,3246
2277,2019,6,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,ทาวน์โฮม,Townhome,103,647
1791,2017,1,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,213,1743
74,2021,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,คอนโด,Condo,17,69
2297,2021,12,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,9,89
572,2020,5,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,29,84
993,2017,5,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,โฮมออฟฟิศ,Home office,73,666
397,2018,11,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,คอนโด,Condo,124,299
648,2017,7,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,107,1258
1309,2017,12,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้านแฝด,Twin house,347,6393
2732,2019,4,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,96,1157
1413,2017,4,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,บ้าน,Detached House,625,5324
2002,2019,7,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,136,675
2090,2017,3,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,อาคารพาณิชย์,Commercial,62,397
2519,2019,7,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,ทาวน์โฮม,Townhome,29,70
2004,2019,5,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,148,1062
2212,2017,8,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,84,426
1191,2019,9,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,114,556
1662,2020,4,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้านแฝด,Twin house,67,263
632,2021,10,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,บ้านแฝด,Twin house,18,332
3307,2017,4,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,323,4450
3074,2018,11,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,คอนโด,Condo,151,511
73,2017,2,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,บ้าน,Detached House,76,627
3156,2017,5,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,1270,5777
3181,2021,3,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,คอนโด,Condo,18,102
1119,2018,10,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,ทาวน์โฮม,Townhome,186,2920
3079,2019,7,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,โฮมออฟฟิศ,Home office,75,436
531,2020,1,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,บ้าน,Detached House,46,113
3368,2017,3,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,คอนโด,Condo,422,1788
1075,2020,4,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,ทาวน์โฮม,Townhome,35,103
712,2016,12,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้าน,Detached House,275,1697
2597,2019,7,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,คอนโด,Condo,103,1383
312,2017,12,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,589,5209
1914,2017,12,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,บ้าน,Detached House,16,25
1625,2017,7,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,34,53
2689,2020,11,นครปฐม,Nakhon Pathom,พุทธมณฑล,PHUTTHAMONTHON,บ้าน,Detached House,33,143
3078,2020,1,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,โฮมออฟฟิศ,Home office,37,70
2744,2021,11,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,9,43
208,2019,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,229,1546
775,2021,8,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,บ้าน,Detached House,9,234
3216,2019,5,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,98,651
2893,2019,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,คอนโด,Condo,38,94
1203,2017,2,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,2678,37459
2916,2017,7,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,266,1879
542,2016,12,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,169,1113
1415,2020,4,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,76,535
3364,2017,7,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,อาคารพาณิชย์,Commercial,133,327
2507,2017,5,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,โฮมออฟฟิศ,Home office,45,96
2000,2019,6,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,อาคารพาณิชย์,Commercial,16,36
3101,2019,9,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,อาคารพาณิชย์,Commercial,94,469
77,2017,6,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,245,2669
1281,2020,8,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,43,676
2501,2017,6,กรุงเทพมหานคร,Bangkok,บางพลัด,BANG PHLAT,คอนโด,Condo,459,2634
3326,2019,4,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,184,1553
1245,2017,4,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,บ้านแฝด,Twin house,115,604
2626,2020,11,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,คอนโด,Condo,23,60
1837,2016,12,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,ทาวน์โฮม,Townhome,919,5265
3292,2017,7,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,คอนโด,Condo,195,2971
3272,2020,4,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,91,464
2556,2017,12,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,ทาวน์โฮม,Townhome,22,54
562,2019,6,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,อาคารพาณิชย์,Commercial,73,556
2996,2020,6,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,ทาวน์โฮม,Townhome,49,291
797,2020,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,154,1076
1456,2017,12,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,410,3070
444,2017,12,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,ทาวน์โฮม,Townhome,58,662
1578,2021,12,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,โฮมออฟฟิศ,Home office,3,24
2209,2016,11,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้าน,Detached House,609,5742
1797,2019,6,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,88,870
1992,2019,5,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,107,708
2260,2020,7,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,ที่ดิน,Land,36,162
1393,2016,12,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,บ้าน,Detached House,1418,9101
2145,2017,7,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,701,5164
1469,2019,6,กรุงเทพมหานคร,Bangkok,ปทุมวัน,PATHUM WAN,คอนโด,Condo,194,1151
1434,2017,1,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้านแฝด,Twin house,620,5840
1125,2020,3,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,69,217
3299,2019,11,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,โฮมออฟฟิศ,Home office,36,79
2158,2016,12,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,ทาวน์โฮม,Townhome,635,8800
2509,2017,1,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,3642,30563
1319,2021,12,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้าน,Detached House,3,23
286,2019,9,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,95,1655
2386,2020,11,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,88,751
551,2021,10,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,6,12
13,2019,7,นครปฐม,Nakhon Pathom,นครชัยศรี,NAKHON CHAI SI,ทาวน์โฮม,Townhome,85,1779
1798,2017,6,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,คอนโด,Condo,1331,6888
2706,2020,2,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,62,606
3274,2020,2,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,49,141
2424,2020,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,178,3650
1633,2018,7,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้านแฝด,Twin house,335,4285
1743,2017,11,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,อาคารพาณิชย์,Commercial,37,68
2303,2020,1,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,บ้านแฝด,Twin house,136,1774
848,2017,2,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้าน,Detached House,1453,12088
2529,2016,11,กรุงเทพมหานคร,Bangkok,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,862,4570
549,2017,4,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,บ้านแฝด,Twin house,56,135
3379,2020,6,กรุงเทพมหานคร,Bangkok,บางรัก,BANG RAK,คอนโด,Condo,77,163
121,2021,4,กรุงเทพมหานคร,Bangkok,ราษฎร์บูรณะ,RAT BURANA,ทาวน์โฮม,Townhome,17,133
1495,2020,7,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,71,555
1165,2016,11,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,บ้าน,Detached House,177,1349
682,2017,12,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,บ้านแฝด,Twin house,79,825
3185,2020,8,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,คอนโด,Condo,13,18
3312,2021,12,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,3,54
1228,2017,1,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,ทาวน์โฮม,Townhome,162,2267
1382,2021,8,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,9,234
1786,2020,3,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,โฮมออฟฟิศ,Home office,98,532
1441,2020,1,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,ทาวน์โฮม,Townhome,51,260
1267,2018,11,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,558,3395
2658,2016,12,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,บ้าน,Detached House,569,4827
907,2017,8,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,74,2404
1253,2019,7,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,บ้าน,Detached House,46,270
183,2019,5,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้านแฝด,Twin house,190,2253
59,2021,7,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,6,13
1945,2016,10,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,คอนโด,Condo,398,3731
1830,2020,9,กรุงเทพมหานคร,Bangkok,บางรัก,BANG RAK,คอนโด,Condo,63,404
3356,2016,11,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,1002,8190
3293,2018,9,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้านแฝด,Twin house,139,1529
673,2017,8,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,บ้าน,Detached House,889,11582
1399,2017,4,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้านแฝด,Twin house,511,8252
2524,2021,3,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้านแฝด,Twin house,32,198
1463,2019,11,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,อาคารพาณิชย์,Commercial,51,353
1793,2021,9,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,7,19
371,2017,2,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,ทาวน์โฮม,Townhome,1701,12746
537,2016,11,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,คอนโด,Condo,366,2077
2972,2020,9,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้าน,Detached House,111,789
1260,2020,5,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,33,426
3007,2018,11,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,ทาวน์โฮม,Townhome,169,1560
3247,2017,7,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,673,6969
1968,2019,7,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,62,733
52,2016,12,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,223,926
2094,2017,9,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,242,3719
2194,2017,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,1889,18771
2245,2021,12,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,ทาวน์โฮม,Townhome,6,27
718,2016,11,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,โฮมออฟฟิศ,Home office,49,137
707,2017,8,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,อาคารพาณิชย์,Commercial,193,2611
3031,2021,5,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,65,1747
1983,2017,3,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้านแฝด,Twin house,78,440
1724,2018,12,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,42,72
2948,2019,3,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,183,691
874,2020,1,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,อาคารพาณิชย์,Commercial,24,46
2613,2019,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,บ้าน,Detached House,101,484
3300,2018,1,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,121,1128
1026,2017,6,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,2178,5143
1979,2017,8,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,คอนโด,Condo,100,1212
2247,2017,3,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,อาคารพาณิชย์,Commercial,205,1299
2383,2018,11,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,181,1058
2929,2016,12,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,658,5692
2012,2017,6,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,276,4058
746,2017,10,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,293,1817
272,2017,8,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,926,15459
2780,2021,3,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,บ้าน,Detached House,41,258
3192,2019,9,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,บ้าน,Detached House,60,456
818,2020,1,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,บ้าน,Detached House,13,15
3143,2017,2,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,ทาวน์โฮม,Townhome,309,3246
1139,2017,8,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,คอนโด,Condo,65,647
640,2019,7,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้าน,Detached House,171,1127
70,2020,3,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,คอนโด,Condo,61,443
443,2018,7,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,117,972
1054,2019,9,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,ทาวน์โฮม,Townhome,219,6096
2227,2020,3,นครปฐม,Nakhon Pathom,นครชัยศรี,NAKHON CHAI SI,ทาวน์โฮม,Townhome,42,112
3133,2018,6,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,138,627
1736,2020,3,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,51,132
1931,2017,11,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,บ้าน,Detached House,286,2062
1482,2019,6,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,ทาวน์โฮม,Townhome,96,1026
1306,2017,11,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,236,1232
2722,2018,8,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,82,146
1391,2019,7,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,อาคารพาณิชย์,Commercial,75,436
3125,2020,2,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้านแฝด,Twin house,250,2049
2855,2020,1,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,บ้าน,Detached House,387,1922
603,2017,1,นครปฐม,Nakhon Pathom,กำแพงแสน,KAMPHAENG SAEN,บ้านแฝด,Twin house,246,3513
2184,2019,10,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,102,1552
3253,2017,7,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,ทาวน์โฮม,Townhome,506,3618
644,2019,11,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,96,559
2039,2021,11,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,8,15
1224,2020,2,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,อาคารพาณิชย์,Commercial,37,63
1556,2019,8,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,70,405
2484,2020,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,127,1203
1540,2018,11,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,บ้าน,Detached House,377,5098
3390,2021,10,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้านแฝด,Twin house,12,87
2767,2017,12,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,อาคารพาณิชย์,Commercial,42,75
912,2022,1,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,2,38
1131,2017,6,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,82,381
862,2017,3,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,โฮมออฟฟิศ,Home office,55,455
789,2017,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,ทาวน์โฮม,Townhome,435,5459
152,2016,12,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,69,220
3116,2017,7,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้านแฝด,Twin house,131,2276
2072,2020,3,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,ทาวน์โฮม,Townhome,303,6652
3204,2019,11,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,คอนโด,Condo,247,4501
76,2017,1,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,โฮมออฟฟิศ,Home office,77,235
469,2017,3,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,904,6922
153,2019,4,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,ทาวน์โฮม,Townhome,87,397
384,2021,10,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,ทาวน์โฮม,Townhome,8,26
1715,2017,7,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,โฮมออฟฟิศ,Home office,222,1218
330,2018,11,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,โฮมออฟฟิศ,Home office,40,73
1705,2021,10,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,คอนโด,Condo,17,39
702,2017,6,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,1394,7777
3045,2016,10,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,837,10575
344,2016,12,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,348,3251
581,2019,11,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,ทาวน์โฮม,Townhome,182,2502
770,2016,12,กรุงเทพมหานคร,Bangkok,ทวีวัฒนา,THAWI WATTHANA,บ้าน,Detached House,1061,8818
2517,2019,6,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,บ้าน,Detached House,87,711
1659,2019,8,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,722,2723
2078,2017,7,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,บ้าน,Detached House,254,1145
1832,2017,5,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,บ้าน,Detached House,635,12749
539,2020,1,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,บ้าน,Detached House,224,1817
1056,2020,4,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้านแฝด,Twin house,120,978
2337,2020,7,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้านแฝด,Twin house,82,832
2333,2019,6,กรุงเทพมหานคร,Bangkok,ทวีวัฒนา,THAWI WATTHANA,ทาวน์โฮม,Townhome,163,2882
2306,2017,5,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,โฮมออฟฟิศ,Home office,96,935
