row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
436,2020,5,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,28,39
1692,2017,7,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,ทาวน์โฮม,Townhome,692,13160
3374,2022,1,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,บ้าน,Detached House,3,14
2267,2021,3,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้าน,Detached House,56,306
3070,2016,12,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,คอนโด,Condo,284,2497
568,2017,5,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,149,554
458,2018,1,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,162,1025
63,2021,7,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,55,347
843,2018,11,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้านแฝด,Twin house,162,1123
3383,2016,9,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,198,1312
675,2021,3,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้านแฝด,Twin house,34,1485
3019,2020,1,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,125,949
2121,2019,8,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,บ้าน,Detached House,124,734
2104,2018,10,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,149,917
2328,2019,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,351,2563
676,2020,3,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,167,2006
3189,2017,5,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,86,835
3343,2020,4,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,อาคารพาณิชย์,Commercial,50,212
3228,2016,11,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,คอนโด,Condo,906,5855
1283,2020,5,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,90,169
2787,2018,3,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้านแฝด,Twin house,273,3008
2965,2017,7,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,บ้านแฝด,Twin house,69,353
2624,2019,7,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,101,288
704,2020,2,กรุงเทพมหานคร,Bangkok,ธนบุรี,THON BURI,คอนโด,Condo,122,450
2136,2017,7,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้าน,Detached House,598,8388
2389,2017,11,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,บ้าน,Detached House,82,342
1576,2021,5,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,18,45
274,2017,3,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,1063,8879
1205,2017,11,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,บ้าน,Detached House,422,5613
992,2018,11,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,611,6635
1649,2017,3,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,276,2036
3166,2018,10,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,159,408
906,2019,7,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,คอนโด,Condo,122,221
